date,rates.BRL
2016-04-01,4.1296
2016-04-04,4.042
2016-04-05,4.1395
2016-04-06,4.2
2016-04-07,4.1617
2016-04-08,4.1554
2016-04-11,4.0647
2016-04-12,4.0034
2016-04-13,3.969
2016-04-14,3.9586
2016-04-15,3.9387
2016-04-18,3.9606
2016-04-19,4.0408
2016-04-20,4.0362
2016-04-21,4.0043
2016-04-22,4.0218
2016-04-25,4.0168
2016-04-26,3.9943
2016-04-27,3.9826
2016-04-28,3.9907
2016-04-29,3.9738
2016-05-02,3.9731
2016-05-03,4.102
2016-05-04,4.1091
2016-05-05,4.0282
2016-05-06,4.065
2016-05-09,3.9971
2016-05-10,3.9647
2016-05-11,3.9517
2016-05-12,3.9419
2016-05-13,3.9559
2016-05-16,3.9999
2016-05-17,3.9451
2016-05-18,3.9891
2016-05-19,4.0146
2016-05-20,3.9797
2016-05-23,3.9832
2016-05-24,3.9639
2016-05-25,3.9681
2016-05-26,4.0004
2016-05-27,4.031
2016-05-30,4.0148
2016-05-31,3.985
2016-06-01,4.0211
2016-06-02,4.0235
2016-06-03,3.9973
2016-06-06,3.9934
2016-06-07,3.9788
2016-06-08,3.8786
2016-06-09,3.8378
2016-06-10,3.8662
2016-06-13,3.876
2016-06-17,3.8942
2016-06-21,3.81
2016-06-24,3.8063
2016-06-29,3.6216
2016-07-01,3.5837
2016-07-07,3.6894
2016-07-11,3.6651
2016-07-15,3.6232
2016-07-18,3.5963
2016-07-22,3.6138
2016-07-26,3.608
2016-07-29,3.6478
2016-08-03,3.6606
2016-08-05,3.5501
2016-08-10,3.4911
2016-08-12,3.5287
2016-08-18,3.6484
2016-08-19,3.6659
2016-08-25,3.6365
2016-08-29,3.671
2016-09-02,3.6549
2016-09-06,3.6445
2016-09-09,3.6552
2016-09-14,3.7097
2016-09-16,3.6993
2016-09-21,3.6137
2016-09-23,3.5931
2016-09-28,3.6389
2016-09-30,3.621
2016-10-06,3.6206
2016-10-10,3.5886
2016-10-14,3.4994
2016-10-18,3.5073
2016-10-21,3.434
2016-10-25,3.3872
2016-10-28,3.4841
2016-11-02,3.5967
2016-11-04,3.5996
2016-11-10,3.5815
2016-11-14,3.7153
2016-11-18,3.6049
2016-11-22,3.5497
2016-11-25,3.6394
2016-11-30,3.6118
2016-12-02,3.6909
2016-12-08,3.6599
2016-12-12,3.5953
2016-12-15,3.5298
2016-12-19,3.5191
2016-12-23,3.4146
2016-12-27,3.4256
2016-12-30,3.4305
2017-01-04,3.3784
2017-01-06,3.3905
2017-01-12,3.3718
2017-01-16,3.413
2017-01-20,3.3977
2017-01-24,3.4
2017-01-27,3.3834
2017-02-01,3.3918
2017-02-03,3.3641
2017-02-09,3.3329
2017-02-13,3.3159
2017-02-17,3.2928
2017-02-21,3.2623
2017-02-24,3.277
2017-02-27,3.2916
2017-02-28,3.281
2017-03-03,3.308
2017-03-07,3.2974
2017-03-10,3.3694
2017-03-15,3.3553
2017-03-17,3.3342
2017-03-23,3.3608
2017-03-24,3.3845
2017-03-31,3.38
