date,rates.CAD
2016-04-01,1.4894
2016-04-04,1.4832
2016-04-05,1.4968
2016-04-06,1.4912
2016-04-07,1.4906
2016-04-08,1.4861
2016-04-11,1.4794
2016-04-12,1.4674
2016-04-13,1.4466
2016-04-14,1.4434
2016-04-15,1.4535
2016-04-18,1.4612
2016-04-19,1.4418
2016-04-20,1.4421
2016-04-21,1.4346
2016-04-22,1.4342
2016-04-25,1.4286
2016-04-26,1.4276
2016-04-27,1.4223
2016-04-28,1.4262
2016-04-29,1.4286
2016-05-02,1.4388
2016-05-03,1.4559
2016-05-04,1.467
2016-05-05,1.4665
2016-05-06,1.4717
2016-05-09,1.4743
2016-05-10,1.4744
2016-05-11,1.4686
2016-05-12,1.4594
2016-05-13,1.4619
2016-05-16,1.4634
2016-05-17,1.4631
2016-05-18,1.4637
2016-05-19,1.4679
2016-05-20,1.4704
2016-05-23,1.4745
2016-05-24,1.4684
2016-05-25,1.4608
2016-05-26,1.4443
2016-05-27,1.456
2016-05-30,1.4524
2016-05-31,1.453
2016-06-01,1.4586
2016-06-02,1.4662
2016-06-03,1.4594
2016-06-06,1.4665
2016-06-07,1.4505
2016-06-08,1.443
2016-06-09,1.4459
2016-06-10,1.441
2016-06-13,1.439
2016-06-17,1.4519
2016-06-21,1.4451
2016-06-24,1.4392
2016-06-29,1.4407
2016-07-01,1.439
2016-07-07,1.4328
2016-07-11,1.4437
2016-07-15,1.4317
2016-07-18,1.4315
2016-07-22,1.4436
2016-07-26,1.4553
2016-07-29,1.4643
2016-08-03,1.4672
2016-08-05,1.4529
2016-08-10,1.4557
2016-08-12,1.4478
2016-08-18,1.4524
2016-08-19,1.4547
2016-08-25,1.4597
2016-08-29,1.4536
2016-09-02,1.4643
2016-09-06,1.4405
2016-09-09,1.46
2016-09-14,1.4799
2016-09-16,1.4817
2016-09-21,1.4653
2016-09-23,1.4625
2016-09-28,1.4829
2016-09-30,1.469
2016-10-06,1.4769
2016-10-10,1.479
2016-10-14,1.4485
2016-10-18,1.4382
2016-10-21,1.4401
2016-10-25,1.4478
2016-10-28,1.4623
2016-11-02,1.484
2016-11-04,1.4901
2016-11-10,1.4689
2016-11-14,1.459
2016-11-18,1.4365
2016-11-22,1.423
2016-11-25,1.429
2016-11-30,1.4233
2016-12-02,1.4157
2016-12-08,1.4222
2016-12-12,1.3918
2016-12-15,1.3902
2016-12-19,1.3947
2016-12-23,1.4117
2016-12-27,1.4136
2016-12-30,1.4188
2017-01-04,1.3894
2017-01-06,1.4039
2017-01-12,1.3944
2017-01-16,1.3927
2017-01-20,1.4217
2017-01-24,1.4267
2017-01-27,1.4012
2017-02-01,1.4097
2017-02-03,1.4023
2017-02-09,1.4016
2017-02-13,1.3917
2017-02-17,1.3929
2017-02-21,1.384
2017-02-24,1.3907
2017-02-27,1.3889
2017-02-28,1.3984
2017-03-03,1.4161
2017-03-07,1.4191
2017-03-10,1.4322
2017-03-15,1.4291
2017-03-17,1.4296
2017-03-23,1.4387
2017-03-24,1.4448
2017-03-31,1.4265
