date,rates.CNY
2016-04-01,7.3903
2016-04-04,7.3696
2016-04-05,7.3595
2016-04-06,7.355
2016-04-07,7.3535
2016-04-08,7.357
2016-04-11,7.3709
2016-04-12,7.3632
2016-04-13,7.3172
2016-04-14,7.297
2016-04-15,7.3072
2016-04-18,7.3241
2016-04-19,7.3372
2016-04-20,7.3578
2016-04-21,7.3525
2016-04-22,7.3159
2016-04-25,7.3145
2016-04-26,7.3345
2016-04-27,7.3411
2016-04-28,7.3562
2016-04-29,7.3943
2016-05-02,7.4418
2016-05-03,7.5013
2016-05-04,7.4789
2016-05-05,7.441
2016-05-06,7.43
2016-05-09,7.4207
2016-05-10,7.413
2016-05-11,7.4212
2016-05-12,7.4242
2016-05-13,7.4001
2016-05-16,7.3865
2016-05-17,7.3867
2016-05-18,7.3714
2016-05-19,7.3318
2016-05-20,7.3456
2016-05-23,7.3507
2016-05-24,7.3226
2016-05-25,7.3136
2016-05-26,7.3237
2016-05-27,7.3281
2016-05-30,7.3314
2016-05-31,7.3363
2016-06-01,7.3498
2016-06-02,7.3639
2016-06-03,7.3468
2016-06-06,7.452
2016-06-07,7.4579
2016-06-08,7.4727
2016-06-09,7.4405
2016-06-10,7.4143
2016-06-13,7.4212
2016-06-17,7.4171
2016-06-21,7.4466
2016-06-24,7.3301
2016-06-29,7.368
2016-07-01,7.4111
2016-07-07,7.4044
2016-07-11,7.3926
2016-07-15,7.4355
2016-07-18,7.4089
2016-07-22,7.35
2016-07-26,7.3357
2016-07-29,7.3908
2016-08-03,7.4234
2016-08-05,7.411
2016-08-10,7.4169
2016-08-12,7.4173
2016-08-18,7.5066
2016-08-19,7.5341
2016-08-25,7.5146
2016-08-29,7.4608
2016-09-02,7.4755
2016-09-06,7.4525
2016-09-09,7.5276
2016-09-14,7.4894
2016-09-16,7.4915
2016-09-21,7.4384
2016-09-23,7.4797
2016-09-28,7.4911
2016-09-30,7.4463
2016-10-06,7.4605
2016-10-10,7.485
2016-10-14,7.4
2016-10-18,7.406
2016-10-21,7.3625
2016-10-25,7.3685
2016-10-28,7.4053
2016-11-02,7.4983
2016-11-04,7.4955
2016-11-10,7.4065
2016-11-14,7.3759
2016-11-18,7.3156
2016-11-22,7.31
2016-11-25,7.3295
2016-11-30,7.3205
2016-12-02,7.331
2016-12-08,7.4041
2016-12-12,7.3225
2016-12-15,7.2262
2016-12-19,7.2467
2016-12-23,7.2555
2016-12-27,7.2619
2016-12-30,7.3202
2017-01-04,7.2382
2017-01-06,7.3253
2017-01-12,7.3621
2017-01-16,7.3107
2017-01-20,7.3125
2017-01-24,7.3721
2017-01-27,7.3654
2017-02-01,7.427
2017-02-03,7.3776
2017-02-09,7.3413
2017-02-13,7.3062
2017-02-17,7.3134
2017-02-21,7.2545
2017-02-24,7.2873
2017-02-27,7.2756
2017-02-28,7.278
2017-03-03,7.2872
2017-03-07,7.2976
2017-03-10,7.3336
2017-03-15,7.3438
2017-03-17,7.4141
2017-03-23,7.4268
2017-03-24,7.4406
2017-03-31,7.3642
