date,rates.GBP
2016-04-01,0.7989
2016-04-04,0.79738
2016-04-05,0.8016
2016-04-06,0.80808
2016-04-07,0.80728
2016-04-08,0.8073
2016-04-11,0.8006
2016-04-12,0.7984
2016-04-13,0.79388
2016-04-14,0.7956
2016-04-15,0.79575
2016-04-18,0.7978
2016-04-19,0.78975
2016-04-20,0.791
2016-04-21,0.78693
2016-04-22,0.78335
2016-04-25,0.7764
2016-04-26,0.77483
2016-04-27,0.77475
2016-04-28,0.77838
2016-04-29,0.78025
2016-05-02,0.78248
2016-05-03,0.79103
2016-05-04,0.79284
2016-05-05,0.7886
2016-05-06,0.7885
2016-05-09,0.78998
2016-05-10,0.7876
2016-05-11,0.78958
2016-05-12,0.78888
2016-05-13,0.78758
2016-05-16,0.788
2016-05-17,0.7815
2016-05-18,0.77485
2016-05-19,0.76585
2016-05-20,0.77008
2016-05-23,0.77443
2016-05-24,0.76513
2016-05-25,0.75925
2016-05-26,0.7597
2016-05-27,0.76245
2016-05-30,0.76125
2016-05-31,0.76185
2016-06-01,0.77358
2016-06-02,0.77335
2016-06-03,0.77285
2016-06-06,0.7872
2016-06-07,0.7788
2016-06-08,0.78048
2016-06-09,0.78438
2016-06-10,0.7848
2016-06-13,0.79515
2016-06-17,0.7877
2016-06-21,0.76755
2016-06-24,0.8075
2016-06-29,0.8255
2016-07-01,0.8383
2016-07-07,0.85085
2016-07-11,0.85097
2016-07-15,0.83275
2016-07-18,0.83372
2016-07-22,0.84108
2016-07-26,0.8371
2016-07-29,0.844
2016-08-03,0.8391
2016-08-05,0.8481
2016-08-10,0.85541
2016-08-12,0.8605
2016-08-18,0.86073
2016-08-19,0.86537
2016-08-25,0.8557
2016-08-29,0.85476
2016-09-02,0.8426
2016-09-06,0.83535
2016-09-09,0.84558
2016-09-14,0.85078
2016-09-16,0.85203
2016-09-21,0.85693
2016-09-23,0.86435
2016-09-28,0.86208
2016-09-30,0.86103
2016-10-06,0.88323
2016-10-10,0.9007
2016-10-14,0.8991
2016-10-18,0.89565
2016-10-21,0.8932
2016-10-25,0.88998
2016-10-28,0.89905
2016-11-02,0.90063
2016-11-04,0.88808
2016-11-10,0.87785
2016-11-14,0.85985
2016-11-18,0.86218
2016-11-22,0.85423
2016-11-25,0.85182
2016-11-30,0.8525
2016-12-02,0.84303
2016-12-08,0.84995
2016-12-12,0.839
2016-12-15,0.83598
2016-12-19,0.8414
2016-12-23,0.85278
2016-12-27,0.853
2016-12-30,0.85618
2017-01-04,0.84945
2017-01-06,0.85648
2017-01-12,0.86843
2017-01-16,0.87808
2017-01-20,0.86595
2017-01-24,0.8635
2017-01-27,0.8517
2017-02-01,0.85418
2017-02-03,0.86013
2017-02-09,0.8509
2017-02-13,0.8489
2017-02-17,0.8572
2017-02-21,0.8486
2017-02-24,0.84503
2017-02-27,0.8528
2017-02-28,0.85305
2017-03-03,0.86355
2017-03-07,0.8671
2017-03-10,0.8725
2017-03-15,0.87073
2017-03-17,0.86868
2017-03-23,0.86273
2017-03-24,0.866
2017-03-31,0.85553
