date,rates.HKD
2016-04-01,8.8652
2016-04-04,8.8254
2016-04-05,8.8164
2016-04-06,8.7927
2016-04-07,8.8169
2016-04-08,8.8166
2016-04-11,8.8321
2016-04-12,8.8371
2016-04-13,8.7637
2016-04-14,8.7283
2016-04-15,8.7527
2016-04-18,8.7688
2016-04-19,8.7971
2016-04-20,8.8272
2016-04-21,8.8088
2016-04-22,8.7368
2016-04-25,8.7373
2016-04-26,8.7545
2016-04-27,8.7671
2016-04-28,8.8111
2016-04-29,8.8466
2016-05-02,8.917
2016-05-03,8.9769
2016-05-04,8.9295
2016-05-05,8.8775
2016-05-06,8.8678
2016-05-09,8.8455
2016-05-10,8.8299
2016-05-11,8.8542
2016-05-12,8.8378
2016-05-13,8.8097
2016-05-16,8.791
2016-05-17,8.7849
2016-05-18,8.7575
2016-05-19,8.6967
2016-05-20,8.7141
2016-05-23,8.7104
2016-05-24,8.6743
2016-05-25,8.6534
2016-05-26,8.673
2016-05-27,8.6735
2016-05-30,8.6537
2016-05-31,8.664
2016-06-01,8.6818
2016-06-02,8.6932
2016-06-03,8.6683
2016-06-06,8.8154
2016-06-07,8.8145
2016-06-08,8.8338
2016-06-09,8.8047
2016-06-10,8.7738
2016-06-13,8.747
2016-06-17,8.7338
2016-06-21,8.7778
2016-06-24,8.5887
2016-06-29,8.6041
2016-07-01,8.6393
2016-07-07,8.5966
2016-07-11,8.5731
2016-07-15,8.6283
2016-07-18,8.5713
2016-07-22,8.542
2016-07-26,8.5301
2016-07-29,8.621
2016-08-03,8.6898
2016-08-05,8.6521
2016-08-10,8.6748
2016-08-12,8.6551
2016-08-18,8.7784
2016-08-19,8.7821
2016-08-25,8.7553
2016-08-29,8.6637
2016-09-02,8.6815
2016-09-06,8.6543
2016-09-09,8.7393
2016-09-14,8.7038
2016-09-16,8.7099
2016-09-21,8.6472
2016-09-23,8.6979
2016-09-28,8.7041
2016-09-30,8.6547
2016-10-06,8.6764
2016-10-10,8.6588
2016-10-14,8.5363
2016-10-18,8.5294
2016-10-21,8.4457
2016-10-25,8.4331
2016-10-28,8.4687
2016-11-02,8.604
2016-11-04,8.6034
2016-11-10,8.4495
2016-11-14,8.3607
2016-11-18,8.245
2016-11-22,8.2341
2016-11-25,8.2153
2016-11-30,8.2489
2016-12-02,8.2534
2016-12-08,8.3475
2016-12-12,8.2211
2016-12-15,8.0851
2016-12-19,8.0946
2016-12-23,8.1069
2016-12-27,8.1043
2016-12-30,8.1751
2017-01-04,8.0948
2017-01-06,8.2121
2017-01-12,8.2816
2017-01-16,8.2159
2017-01-20,8.2487
2017-01-24,8.3377
2017-01-27,8.2873
2017-02-01,8.372
2017-02-03,8.3343
2017-02-09,8.2952
2017-02-13,8.2471
2017-02-17,8.2659
2017-02-21,8.1783
2017-02-24,8.2341
2017-02-27,8.2164
2017-02-28,8.2252
2017-03-03,8.2031
2017-03-07,8.212
2017-03-10,8.2367
2017-03-15,8.2527
2017-03-17,8.3352
2017-03-23,8.378
2017-03-24,8.3933
2017-03-31,8.3074
