date,rates.INR
2016-04-01,75.853
2016-04-04,75.228
2016-04-05,75.544
2016-04-06,75.578
2016-04-07,75.714
2016-04-08,75.677
2016-04-11,75.706
2016-04-12,75.668
2016-04-13,75.249
2016-04-14,74.865
2016-04-15,75.142
2016-04-18,75.274
2016-04-19,75.49
2016-04-20,75.327
2016-04-21,75.26
2016-04-22,74.942
2016-04-25,75.019
2016-04-26,75.137
2016-04-27,75.127
2016-04-28,75.531
2016-04-29,75.698
2016-05-02,76.318
2016-05-03,76.813
2016-05-04,76.611
2016-05-05,76.074
2016-05-06,76.141
2016-05-09,75.896
2016-05-10,75.844
2016-05-11,75.994
2016-05-12,75.929
2016-05-13,75.782
2016-05-16,75.694
2016-05-17,75.628
2016-05-18,75.546
2016-05-19,75.542
2016-05-20,75.698
2016-05-23,75.726
2016-05-24,75.578
2016-05-25,75.1
2016-05-26,74.916
2016-05-27,74.867
2016-05-30,74.786
2016-05-31,74.951
2016-06-01,75.378
2016-06-02,75.297
2016-06-03,75.011
2016-06-06,76
2016-06-07,75.74
2016-06-08,75.721
2016-06-09,75.692
2016-06-10,75.52
2016-06-13,75.612
2016-06-17,75.498
2016-06-21,76.449
2016-06-24,75.254
2016-06-29,74.969
2016-07-01,74.97
2016-07-07,74.704
2016-07-11,74.186
2016-07-15,74.585
2016-07-18,74.276
2016-07-22,73.878
2016-07-26,74.042
2016-07-29,74.407
2016-08-03,74.922
2016-08-05,74.492
2016-08-10,74.531
2016-08-12,74.607
2016-08-18,75.633
2016-08-19,76.085
2016-08-25,75.697
2016-08-29,75.034
2016-09-02,74.762
2016-09-06,74.198
2016-09-09,75.203
2016-09-14,75.071
2016-09-16,75.237
2016-09-21,74.68
2016-09-23,74.711
2016-09-28,74.592
2016-09-30,74.366
2016-10-06,74.644
2016-10-10,74.232
2016-10-14,73.438
2016-10-18,73.334
2016-10-21,72.825
2016-10-25,72.637
2016-10-28,72.958
2016-11-02,73.971
2016-11-04,74.04
2016-11-10,72.708
2016-11-14,73.08
2016-11-18,72.217
2016-11-22,72.509
2016-11-25,72.592
2016-11-30,72.859
2016-12-02,72.638
2016-12-08,72.506
2016-12-12,71.448
2016-12-15,70.642
2016-12-19,70.722
2016-12-23,70.828
2016-12-27,71.043
2016-12-30,71.594
2017-01-04,71.039
2017-01-06,71.994
2017-01-12,72.596
2017-01-16,72.167
2017-01-20,72.482
2017-01-24,73.189
2017-01-27,72.703
2017-02-01,72.754
2017-02-03,72.31
2017-02-09,71.36
2017-02-13,71.188
2017-02-17,71.462
2017-02-21,70.53
2017-02-24,70.664
2017-02-27,70.612
2017-02-28,70.629
2017-03-03,70.592
2017-03-07,70.47
2017-03-10,70.672
2017-03-15,69.748
2017-03-17,70.251
2017-03-23,70.61
2017-03-24,70.652
2017-03-31,69.396
