date,rates.KRW
2016-04-01,1315.8
2016-04-04,1308.2
2016-04-05,1317.2
2016-04-06,1318.4
2016-04-07,1318.1
2016-04-08,1310.4
2016-04-11,1306.6
2016-04-12,1302.9
2016-04-13,1298.1
2016-04-14,1298.5
2016-04-15,1295.1
2016-04-18,1299.6
2016-04-19,1277.3
2016-04-20,1285
2016-04-21,1286.4
2016-04-22,1287.4
2016-04-25,1291.5
2016-04-26,1299.1
2016-04-27,1299.5
2016-04-28,1295.5
2016-04-29,1301.5
2016-05-02,1307.8
2016-05-03,1323.8
2016-05-04,1338.1
2016-05-05,1334
2016-05-06,1339.6
2016-05-09,1337.4
2016-05-10,1335
2016-05-11,1332.8
2016-05-12,1331.6
2016-05-13,1330.9
2016-05-16,1335.9
2016-05-17,1331.7
2016-05-18,1340.3
2016-05-19,1333.5
2016-05-20,1332
2016-05-23,1329.8
2016-05-24,1329.3
2016-05-25,1317.2
2016-05-26,1317.9
2016-05-27,1317
2016-05-30,1326.6
2016-05-31,1326.1
2016-06-01,1331.5
2016-06-02,1329.4
2016-06-03,1322.4
2016-06-06,1323
2016-06-07,1311.7
2016-06-08,1311.4
2016-06-09,1316.6
2016-06-10,1316.1
2016-06-13,1322.6
2016-06-17,1318.2
2016-06-21,1304
2016-06-24,1296.9
2016-06-29,1283.2
2016-07-01,1275.8
2016-07-07,1280.6
2016-07-11,1268.8
2016-07-15,1260.1
2016-07-18,1257.6
2016-07-22,1251.2
2016-07-26,1249.2
2016-07-29,1246.8
2016-08-03,1251.3
2016-08-05,1237.7
2016-08-10,1223.5
2016-08-12,1234.2
2016-08-18,1257.1
2016-08-19,1269.2
2016-08-25,1260.3
2016-08-29,1254.7
2016-09-02,1248.9
2016-09-06,1233.8
2016-09-09,1244.2
2016-09-14,1263.1
2016-09-16,1263.6
2016-09-21,1240.6
2016-09-23,1235.8
2016-09-28,1231.8
2016-09-30,1229.8
2016-10-06,1249.2
2016-10-10,1240.6
2016-10-14,1246.1
2016-10-18,1238.3
2016-10-21,1238.6
2016-10-25,1230.6
2016-10-28,1251
2016-11-02,1268.5
2016-11-04,1269.4
2016-11-10,1264.9
2016-11-14,1264
2016-11-18,1250.1
2016-11-22,1246.9
2016-11-25,1247
2016-11-30,1247.4
2016-12-02,1247.4
2016-12-08,1250
2016-12-12,1237.7
2016-12-15,1235.8
2016-12-19,1239
2016-12-23,1257.6
2016-12-27,1261
2016-12-30,1269.4
2017-01-04,1251.9
2017-01-06,1261.4
2017-01-12,1255.4
2017-01-16,1253.6
2017-01-20,1250.7
2017-01-24,1252.3
2017-01-27,1254
2017-02-01,1247.9
2017-02-03,1232.2
2017-02-09,1223.2
2017-02-13,1223.3
2017-02-17,1224.8
2017-02-21,1208.7
2017-02-24,1198.2
2017-02-27,1200
2017-02-28,1194.2
2017-03-03,1218.6
2017-03-07,1215.7
2017-03-10,1226.3
2017-03-15,1217.3
2017-03-17,1213.2
2017-03-23,1207.4
2017-03-24,1210.4
2017-03-31,1194.5
