date,rates.MXN
2016-04-01,19.9
2016-04-04,19.723
2016-04-05,19.996
2016-04-06,20.148
2016-04-07,20.178
2016-04-08,20.211
2016-04-11,20.192
2016-04-12,20.025
2016-04-13,19.824
2016-04-14,19.666
2016-04-15,19.793
2016-04-18,19.904
2016-04-19,19.595
2016-04-20,19.706
2016-04-21,19.623
2016-04-22,19.682
2016-04-25,19.804
2016-04-26,19.789
2016-04-27,19.658
2016-04-28,19.671
2016-04-29,19.557
2016-05-02,19.683
2016-05-03,20.146
2016-05-04,20.457
2016-05-05,20.216
2016-05-06,20.518
2016-05-09,20.432
2016-05-10,20.623
2016-05-11,20.531
2016-05-12,20.388
2016-05-13,20.483
2016-05-16,20.618
2016-05-17,20.728
2016-05-18,20.788
2016-05-19,20.678
2016-05-20,20.654
2016-05-23,20.602
2016-05-24,20.585
2016-05-25,20.502
2016-05-26,20.514
2016-05-27,20.661
2016-05-30,20.577
2016-05-31,20.518
2016-06-01,20.653
2016-06-02,20.778
2016-06-03,20.88
2016-06-06,21.063
2016-06-07,21.071
2016-06-08,20.682
2016-06-09,20.677
2016-06-10,20.803
2016-06-13,21.067
2016-06-17,21.247
2016-06-21,21.004
2016-06-24,20.881
2016-06-29,20.733
2016-07-01,20.181
2016-07-07,20.727
2016-07-11,20.378
2016-07-15,20.442
2016-07-18,20.435
2016-07-22,20.491
2016-07-26,20.673
2016-07-29,21.029
2016-08-03,21.18
2016-08-05,21.028
2016-08-10,20.492
2016-08-12,20.388
2016-08-18,20.554
2016-08-19,20.754
2016-08-25,20.838
2016-08-29,20.764
2016-09-02,21.014
2016-09-06,20.67
2016-09-09,21.187
2016-09-14,21.48
2016-09-16,21.766
2016-09-21,22.006
2016-09-23,22.009
2016-09-28,21.818
2016-09-30,21.739
2016-10-06,21.57
2016-10-10,21.139
2016-10-14,20.845
2016-10-18,20.571
2016-10-21,20.308
2016-10-25,20.102
2016-10-28,20.558
2016-11-02,21.495
2016-11-04,21.228
2016-11-10,22.037
2016-11-14,22.502
2016-11-18,21.697
2016-11-22,21.584
2016-11-25,21.873
2016-11-30,21.878
2016-12-02,22.116
2016-12-08,21.892
2016-12-12,21.447
2016-12-15,21.52
2016-12-19,21.288
2016-12-23,21.615
2016-12-27,21.534
2016-12-30,21.772
2017-01-04,22.071
2017-01-06,22.529
2017-01-12,23.07
2017-01-16,22.878
2017-01-20,23.37
2017-01-24,22.886
2017-01-27,22.545
2017-02-01,22.34
2017-02-03,22.016
2017-02-09,21.858
2017-02-13,21.626
2017-02-17,21.805
2017-02-21,21.528
2017-02-24,20.893
2017-02-27,20.954
2017-02-28,21.08
2017-03-03,20.764
2017-03-07,20.612
2017-03-10,20.968
2017-03-15,20.801
2017-03-17,20.571
2017-03-23,20.596
2017-03-24,20.428
2017-03-31,20.018
