date,rates.PHP
2016-04-01,52.615
2016-04-04,52.562
2016-04-05,52.593
2016-04-06,52.456
2016-04-07,52.579
2016-04-08,52.469
2016-04-11,52.552
2016-04-12,52.517
2016-04-13,52.065
2016-04-14,51.982
2016-04-15,52.051
2016-04-18,52.253
2016-04-19,52.29
2016-04-20,52.626
2016-04-21,52.822
2016-04-22,52.658
2016-04-25,52.808
2016-04-26,52.864
2016-04-27,52.973
2016-04-28,53.309
2016-04-29,53.504
2016-05-02,54.068
2016-05-03,54.425
2016-05-04,54.352
2016-05-05,54.171
2016-05-06,53.884
2016-05-09,53.832
2016-05-10,53.126
2016-05-11,53.055
2016-05-12,53.015
2016-05-13,52.933
2016-05-16,52.652
2016-05-17,52.581
2016-05-18,52.624
2016-05-19,52.447
2016-05-20,52.477
2016-05-23,52.481
2016-05-24,52.267
2016-05-25,52.109
2016-05-26,52.131
2016-05-27,52.096
2016-05-30,52.053
2016-05-31,52.149
2016-06-01,52.11
2016-06-02,52.107
2016-06-03,51.821
2016-06-06,52.398
2016-06-07,52.229
2016-06-08,52.223
2016-06-09,52.188
2016-06-10,51.978
2016-06-13,52.002
2016-06-17,52.258
2016-06-21,52.379
2016-06-24,51.947
2016-06-29,52.106
2016-07-01,52.334
2016-07-07,52.157
2016-07-11,52.309
2016-07-15,51.95
2016-07-18,51.65
2016-07-22,51.836
2016-07-26,51.855
2016-07-29,52.431
2016-08-03,52.737
2016-08-05,52.3
2016-08-10,52.13
2016-08-12,51.963
2016-08-18,52.377
2016-08-19,52.529
2016-08-25,52.347
2016-08-29,51.829
2016-09-02,52.243
2016-09-06,51.988
2016-09-09,53.337
2016-09-14,53.396
2016-09-16,53.741
2016-09-21,53.301
2016-09-23,53.881
2016-09-28,54.189
2016-09-30,54.015
2016-10-06,54.107
2016-10-10,54.027
2016-10-14,53.227
2016-10-18,52.934
2016-10-21,52.574
2016-10-25,52.418
2016-10-28,52.995
2016-11-02,53.639
2016-11-04,53.837
2016-11-10,53.358
2016-11-14,52.993
2016-11-18,52.687
2016-11-22,52.878
2016-11-25,52.801
2016-11-30,52.913
2016-12-02,52.858
2016-12-08,53.465
2016-12-12,52.72
2016-12-15,52.027
2016-12-19,52.165
2016-12-23,52.002
2016-12-27,51.959
2016-12-30,52.268
2017-01-04,51.811
2017-01-06,52.257
2017-01-12,52.939
2017-01-16,52.926
2017-01-20,53.216
2017-01-24,53.51
2017-01-27,53.221
2017-02-01,53.713
2017-02-03,53.461
2017-02-09,53.369
2017-02-13,53.059
2017-02-17,53.309
2017-02-21,52.99
2017-02-24,53.255
2017-02-27,53.193
2017-02-28,53.258
2017-03-03,53.197
2017-03-07,53.237
2017-03-10,53.281
2017-03-15,53.39
2017-03-17,53.867
2017-03-23,54.309
2017-03-24,54.254
2017-03-31,53.658
