date,rates.SEK
2016-04-01,9.2413
2016-04-04,9.2493
2016-04-05,9.256
2016-04-06,9.2628
2016-04-07,9.2575
2016-04-08,9.2928
2016-04-11,9.2815
2016-04-12,9.2138
2016-04-13,9.176
2016-04-14,9.158
2016-04-15,9.1902
2016-04-18,9.1948
2016-04-19,9.1773
2016-04-20,9.1643
2016-04-21,9.1845
2016-04-22,9.1381
2016-04-25,9.157
2016-04-26,9.1545
2016-04-27,9.1613
2016-04-28,9.1763
2016-04-29,9.1689
2016-05-02,9.1803
2016-05-03,9.2305
2016-05-04,9.263
2016-05-05,9.2575
2016-05-06,9.2753
2016-05-09,9.273
2016-05-10,9.2778
2016-05-11,9.292
2016-05-12,9.2945
2016-05-13,9.3285
2016-05-16,9.337
2016-05-17,9.3513
2016-05-18,9.3525
2016-05-19,9.3709
2016-05-20,9.3588
2016-05-23,9.344
2016-05-24,9.306
2016-05-25,9.2651
2016-05-26,9.287
2016-05-27,9.2673
2016-05-30,9.283
2016-05-31,9.291
2016-06-01,9.2796
2016-06-02,9.2945
2016-06-03,9.2605
2016-06-06,9.246
2016-06-07,9.2238
2016-06-08,9.2283
2016-06-09,9.2433
2016-06-10,9.3233
2016-06-13,9.3265
2016-06-17,9.3815
2016-06-21,9.324
2016-06-24,9.461
2016-06-29,9.4311
2016-07-01,9.39
2016-07-07,9.4792
2016-07-11,9.476
2016-07-15,9.4556
2016-07-18,9.4679
2016-07-22,9.4979
2016-07-26,9.5124
2016-07-29,9.5673
2016-08-03,9.5146
2016-08-05,9.5043
2016-08-10,9.4811
2016-08-12,9.4299
2016-08-18,9.4759
2016-08-19,9.4936
2016-08-25,9.4956
2016-08-29,9.494
2016-09-02,9.5985
2016-09-06,9.536
2016-09-09,9.502
2016-09-14,9.5343
2016-09-16,9.557
2016-09-21,9.5698
2016-09-23,9.582
2016-09-28,9.6165
2016-09-30,9.621
2016-10-06,9.632
2016-10-10,9.6618
2016-10-14,9.7068
2016-10-18,9.7025
2016-10-21,9.6913
2016-10-25,9.718
2016-10-28,9.862
2016-11-02,9.891
2016-11-04,9.963
2016-11-10,9.909
2016-11-14,9.8095
2016-11-18,9.8243
2016-11-22,9.7973
2016-11-25,9.784
2016-11-30,9.7538
2016-12-02,9.7983
2016-12-08,9.7228
2016-12-12,9.7445
2016-12-15,9.7688
2016-12-19,9.78
2016-12-23,9.646
2016-12-27,9.6588
2016-12-30,9.5525
2017-01-04,9.5238
2017-01-06,9.5515
2017-01-12,9.509
2017-01-16,9.483
2017-01-20,9.5073
2017-01-24,9.4985
2017-01-27,9.4528
2017-02-01,9.4253
2017-02-03,9.442
2017-02-09,9.4835
2017-02-13,9.478
2017-02-17,9.4478
2017-02-21,9.469
2017-02-24,9.5188
2017-02-27,9.5548
2017-02-28,9.5675
2017-03-03,9.5375
2017-03-07,9.5218
2017-03-10,9.5778
2017-03-15,9.5603
2017-03-17,9.461
2017-03-23,9.5095
2017-03-24,9.5373
2017-03-31,9.5322
