date,rates.THB
2016-04-01,40.115
2016-04-04,40.08
2016-04-05,40.103
2016-04-06,40.01
2016-04-07,40.024
2016-04-08,39.884
2016-04-11,39.956
2016-04-12,39.943
2016-04-13,39.611
2016-04-14,39.506
2016-04-15,39.584
2016-04-18,39.605
2016-04-19,39.587
2016-04-20,39.656
2016-04-21,39.743
2016-04-22,39.432
2016-04-25,39.499
2016-04-26,39.708
2016-04-27,39.707
2016-04-28,39.804
2016-04-29,39.819
2016-05-02,40.076
2016-05-03,40.422
2016-05-04,40.377
2016-05-05,40.191
2016-05-06,40.189
2016-05-09,40.059
2016-05-10,40.074
2016-05-11,40.228
2016-05-12,40.266
2016-05-13,40.206
2016-05-16,40.064
2016-05-17,40.168
2016-05-18,40.165
2016-05-19,39.973
2016-05-20,40.085
2016-05-23,39.993
2016-05-24,39.914
2016-05-25,39.768
2016-05-26,39.758
2016-05-27,39.851
2016-05-30,39.8
2016-05-31,39.775
2016-06-01,39.846
2016-06-02,39.829
2016-06-03,39.719
2016-06-06,40.028
2016-06-07,39.99
2016-06-08,39.994
2016-06-09,39.95
2016-06-10,39.79
2016-06-13,39.669
2016-06-17,39.704
2016-06-21,39.837
2016-06-24,39.085
2016-06-29,39.028
2016-07-01,39.033
2016-07-07,38.979
2016-07-11,38.817
2016-07-15,38.898
2016-07-18,38.647
2016-07-22,38.463
2016-07-26,38.494
2016-07-29,38.712
2016-08-03,39.127
2016-08-05,38.848
2016-08-10,38.859
2016-08-12,38.815
2016-08-18,39.176
2016-08-19,39.241
2016-08-25,39.032
2016-08-29,38.647
2016-09-02,38.739
2016-09-06,38.677
2016-09-09,39.201
2016-09-14,39.14
2016-09-16,39.19
2016-09-21,38.713
2016-09-23,38.834
2016-09-28,38.839
2016-09-30,38.695
2016-10-06,38.985
2016-10-10,39.172
2016-10-14,38.804
2016-10-18,38.541
2016-10-21,38.248
2016-10-25,37.998
2016-10-28,38.282
2016-11-02,38.783
2016-11-04,38.803
2016-11-10,38.307
2016-11-14,38.226
2016-11-18,37.744
2016-11-22,37.653
2016-11-25,37.76
2016-11-30,37.919
2016-12-02,37.907
2016-12-08,38.334
2016-12-12,37.764
2016-12-15,37.29
2016-12-19,37.399
2016-12-23,37.564
2016-12-27,37.612
2016-12-30,37.726
2017-01-04,37.375
2017-01-06,37.76
2017-01-12,37.74
2017-01-16,37.524
2017-01-20,37.68
2017-01-24,37.844
2017-01-27,37.683
2017-02-01,37.894
2017-02-03,37.653
2017-02-09,37.433
2017-02-13,37.276
2017-02-17,37.27
2017-02-21,36.916
2017-02-24,37.006
2017-02-27,36.901
2017-02-28,36.952
2017-03-03,37.041
2017-03-07,37.111
2017-03-10,37.556
2017-03-15,37.453
2017-03-17,37.418
2017-03-23,37.32
2017-03-24,37.353
2017-03-31,36.724
