date,rates.CHF
2016-04-01,1.0946
2016-04-04,1.0919
2016-04-05,1.0892
2016-04-06,1.0887
2016-04-07,1.0884
2016-04-08,1.0874
2016-04-11,1.0877
2016-04-12,1.0874
2016-04-13,1.0887
2016-04-14,1.0878
2016-04-15,1.0919
2016-04-18,1.0916
2016-04-19,1.0922
2016-04-20,1.0939
2016-04-21,1.0989
2016-04-22,1.0991
2016-04-25,1.0973
2016-04-26,1.1
2016-04-27,1.0998
2016-04-28,1.0974
2016-04-29,1.0984
2016-05-02,1.0999
2016-05-03,1.0977
2016-05-04,1.0993
2016-05-05,1.1018
2016-05-06,1.107
2016-05-09,1.1053
2016-05-10,1.1079
2016-05-11,1.1099
2016-05-12,1.1063
2016-05-13,1.1024
2016-05-16,1.1059
2016-05-17,1.108
2016-05-18,1.1086
2016-05-19,1.1089
2016-05-20,1.1123
2016-05-23,1.1105
2016-05-24,1.1079
2016-05-25,1.1049
2016-05-26,1.1075
2016-05-27,1.1068
2016-05-30,1.1058
2016-05-31,1.1044
2016-06-01,1.1055
2016-06-02,1.1062
2016-06-03,1.105
2016-06-06,1.1051
2016-06-07,1.0979
2016-06-08,1.0942
2016-06-09,1.0916
2016-06-10,1.0885
2016-06-13,1.0888
2016-06-17,1.0818
2016-06-21,1.085
2016-06-24,1.0808
2016-06-29,1.0854
2016-07-01,1.0835
2016-07-07,1.082
2016-07-11,1.0867
2016-07-15,1.0899
2016-07-18,1.0869
2016-07-22,1.086
2016-07-26,1.087
2016-07-29,1.0823
2016-08-03,1.0845
2016-08-05,1.0852
2016-08-10,1.0923
2016-08-12,1.0888
2016-08-18,1.0853
2016-08-19,1.0852
2016-08-25,1.0905
2016-08-29,1.0937
2016-09-02,1.0959
2016-09-06,1.0923
2016-09-09,1.0969
2016-09-14,1.0945
2016-09-16,1.0941
2016-09-21,1.0883
2016-09-23,1.0887
2016-09-28,1.0891
2016-09-30,1.0876
2016-10-06,1.0942
2016-10-10,1.096
2016-10-14,1.0889
2016-10-18,1.0886
2016-10-21,1.0825
2016-10-25,1.0848
2016-10-28,1.0855
2016-11-02,1.0787
2016-11-04,1.0774
2016-11-10,1.0762
2016-11-14,1.0739
2016-11-18,1.0711
2016-11-22,1.073
2016-11-25,1.0736
2016-11-30,1.0803
2016-12-02,1.0751
2016-12-08,1.0853
2016-12-12,1.0772
2016-12-15,1.0733
2016-12-19,1.0709
2016-12-23,1.0711
2016-12-27,1.0754
2016-12-30,1.0739
2017-01-04,1.0707
2017-01-06,1.0725
2017-01-12,1.0742
2017-01-16,1.0709
2017-01-20,1.0727
2017-01-24,1.0738
2017-01-27,1.0689
2017-02-01,1.068
2017-02-03,1.0695
2017-02-09,1.0672
2017-02-13,1.0673
2017-02-17,1.0637
2017-02-21,1.0639
2017-02-24,1.0649
2017-02-27,1.0664
2017-02-28,1.0648
2017-03-03,1.0675
2017-03-07,1.073
2017-03-10,1.0743
2017-03-15,1.0715
2017-03-17,1.0698
2017-03-23,1.07
2017-03-24,1.0718
2017-03-31,1.0696
